File,inbound x velocity ,inbound y velocity,inbound velocity,outbound x velocity,outbound y velocity,outbound velocity,contact time,deformation
CL_0.8_17,11.74643473,2.696999122,12.05207588,8.321674964,1.746753136,8.50302421,0.0105,0.181947474
CL_0.8_18,11.38071468,3.027567159,11.77653725,9.009044554,2.378927169,9.317841931,0.0099,0.188402504
CL_0.8_19,11.90754691,3.884225851,12.52505025,10.90818988,2.964625207,11.30387585,0.0087,0.191500979
CL_0.8_20,10.18903503,3.436639582,10.75299617,9.036702257,2.731928615,9.440626125,0.0106,0.184621458
CL_0.8_21,10.9347614,2.982335753,11.33416664,8.737302171,1.406103007,8.849721741,0.0101,0.188412737
CL_1.0_1,18.71908873,5.682024799,19.5624561,15.68413878,5.092876101,16.49028794,0.0062,0.185184088
CL_1.0_2,18.9206641,3.355697882,19.21593709,14.83985497,2.851085376,15.11125354,0.0055,0.190138001
CL_1.0_3,19.67506364,4.007701161,20.07908857,15.80001772,2.657070868,16.02187834,0.0055,0.178885546
CL_1.0_4,19.08089038,3.619914651,19.42122962,14.31360555,2.778545895,14.58079631,0.0063,0.182831277
CL_1.0_5,20.30325683,3.96651528,20.68708489,16.09277437,2.0018474,16.21680548,0.0062,0.178991401
CL_1.0_6,18.21377618,7.449049212,19.6781599,14.933034,5.488531156,15.90972905,0.0068,0.183162009
CL_1.0_7,15.86450746,2.745816572,16.10037595,11.86468731,2.169477132,12.06140273,0.0061,0.192572284
CL_1.0_8,17.80169358,3.245119168,18.09505714,14.91739082,1.724382341,15.01672546,0.0073,0.176512683
CL_1.0_9,17.77555391,3.680770073,18.15264127,14.73105074,1.75876309,14.83566998,0.0062,0.18565901
CL_1.0_10,18.25691527,3.335511005,18.55911067,16.25057647,3.23516495,16.56947578,0.0074,0.178791753
CL_1.0_11,13.15771543,2.379537783,13.37115087,11.50139983,1.81297037,11.64341271,0.0081,0.187034516
CL_1.0_12,14.8304752,3.214376853,15.17482168,12.52365992,1.816227746,12.65467269,0.009,0.176384852
CL_1.0_13,13.21662952,3.30407545,13.62337001,11.23275623,1.901999394,11.39264737,0.0086,0.181985965
CL_1.0_14,14.70905117,2.757932775,14.96537269,11.75257626,2.238418063,11.96384403,0.0078,0.185736902
CL_1.0_15,13.30255689,3.271371512,13.69890111,11.35589636,1.966582661,11.52492211,0.0087,0.180041885
CL_1.0_16,10.58514954,2.465249347,10.86843343,8.883142814,0.677280645,8.908924476,0.0059,0.204814642
CL_1.0_17,10.10334476,2.914443522,10.51530106,9.037500128,1.729881623,9.201570464,0.0065,0.201405759
CL_1.0_18,12.39377676,2.94096155,12.73793379,10.55792742,1.52111671,10.66694087,0.0081,0.195312117
CL_1.0_19,10.02921901,2.788846631,10.40975021,8.799281356,1.105715881,8.868481267,0.0073,0.19907246
CL_1.0_20,10.4364086,2.595928694,10.75441631,8.982836578,1.884312439,9.178343333,0.0087,0.193440749
