0,1,2,3,4
0.0,0.563281,0.397685,0.343229,0.599074
0.0,0.547135,0.403704,0.348437,0.594444
0.0,0.404948,0.441204,0.350521,0.60463
0.0,0.403125,0.440278,0.348958,0.60463
0.0,0.400521,0.440278,0.352083,0.60463
0.0,0.398958,0.439352,0.353125,0.606481
0.0,0.398698,0.439352,0.350521,0.608333
0.0,0.395833,0.439815,0.352083,0.609259
0.0,0.394531,0.440741,0.354688,0.607407
0.0,0.392448,0.440741,0.352604,0.609259
0.0,0.392448,0.44213,0.352604,0.606481
0.0,0.389323,0.44213,0.353646,0.610185
0.0,0.544792,0.403704,0.347917,0.594444
0.0,0.389323,0.440741,0.348437,0.611111
0.0,0.388281,0.441204,0.347396,0.612037
0.0,0.38776,0.440741,0.344271,0.611111
0.0,0.38776,0.441204,0.342187,0.612037
0.0,0.389844,0.441667,0.334896,0.611111
0.0,0.389062,0.442593,0.335417,0.609259
0.0,0.389062,0.442593,0.333333,0.609259
0.0,0.388281,0.443519,0.332812,0.607407
0.0,0.386198,0.444444,0.333854,0.609259
0.0,0.384635,0.443981,0.332812,0.608333
0.0,0.54349,0.405556,0.348437,0.592593
0.0,0.384375,0.444444,0.330208,0.609259
0.0,0.383333,0.444907,0.332292,0.610185
0.0,0.38151,0.445833,0.334896,0.610185
0.0,0.380469,0.445833,0.334896,0.610185
0.0,0.379687,0.446759,0.335417,0.612037
0.0,0.379427,0.447222,0.334896,0.612963
0.0,0.379427,0.448148,0.333854,0.612963
0.0,0.378906,0.448611,0.333854,0.610185
0.0,0.378646,0.449074,0.333333,0.609259
0.0,0.378125,0.449537,0.333333,0.610185
0.0,0.540365,0.405556,0.346354,0.590741
0.0,0.377604,0.449537,0.333333,0.610185
0.0,0.377344,0.450926,0.333854,0.609259
0.0,0.377865,0.451389,0.333854,0.608333
0.0,0.377604,0.450926,0.333333,0.609259
0.0,0.377604,0.451389,0.333333,0.608333
0.0,0.377344,0.451852,0.333854,0.609259
0.0,0.377083,0.452315,0.334375,0.610185
0.0,0.377083,0.452778,0.334375,0.609259
0.0,0.377083,0.452778,0.334375,0.609259
0.0,0.377083,0.451852,0.334375,0.611111
0.0,0.539583,0.407407,0.346875,0.590741
0.0,0.376563,0.451852,0.334375,0.611111
0.0,0.376563,0.452315,0.335417,0.610185
0.0,0.376302,0.452778,0.335938,0.609259
0.0,0.376563,0.453241,0.336458,0.608333
0.0,0.376302,0.453704,0.338021,0.609259
0.0,0.377344,0.454167,0.338021,0.610185
0.0,0.377604,0.45463,0.3375,0.609259
0.0,0.377604,0.45463,0.338542,0.609259
0.0,0.378906,0.455093,0.338021,0.610185
0.0,0.378646,0.455093,0.339583,0.610185
0.0,0.53776,0.406944,0.346354,0.591667
0.0,0.378646,0.455093,0.340625,0.612037
0.0,0.379948,0.45463,0.340104,0.612963
0.0,0.38099,0.455556,0.341146,0.611111
0.0,0.38125,0.455556,0.342708,0.611111
0.0,0.382552,0.455556,0.343229,0.611111
0.0,0.384635,0.455556,0.339063,0.611111
0.0,0.385417,0.455093,0.339583,0.612037
0.0,0.384115,0.455093,0.344271,0.612037
0.0,0.383333,0.455556,0.345833,0.612963
0.0,0.384375,0.455556,0.346875,0.612963
0.0,0.536719,0.407407,0.347396,0.592593
0.0,0.384375,0.455556,0.348958,0.612963
0.0,0.385677,0.455556,0.348437,0.614815
0.0,0.386198,0.455093,0.349479,0.615741
0.0,0.38776,0.455093,0.350521,0.615741
0.0,0.3875,0.455556,0.353125,0.616667
0.0,0.388542,0.456481,0.354167,0.616667
0.0,0.391927,0.456944,0.353646,0.613889
0.0,0.393229,0.458333,0.353125,0.612963
0.0,0.392969,0.460185,0.354688,0.612963
0.0,0.39401,0.459722,0.355729,0.612037
0.0,0.535156,0.406481,0.346354,0.598148
0.0,0.394531,0.460185,0.356771,0.612963
0.0,0.398698,0.461111,0.353646,0.609259
0.0,0.401563,0.460648,0.35,0.608333
0.0,0.402604,0.461111,0.348958,0.607407
0.0,0.403646,0.461574,0.348958,0.606481
0.0,0.404167,0.462963,0.352083,0.605556
0.0,0.404687,0.463889,0.353125,0.605556
0.0,0.40599,0.464352,0.352604,0.60463
0.0,0.405469,0.463426,0.353646,0.606481
0.0,0.406771,0.464352,0.353125,0.606481
