x speed,y speed,speed,inbound x velocities,inbound y velocities,inbound velocities,outbound x velocities,outbound y velocities,outbound velocities,corrected average inbound x velocities ,corrected average inbound y velocities,corrected average inbound velocities,corrected average outbound x velocities,corrected average outbound y velocities,corrected average outbound velocities,contact time,deformation
-9.565217391,-3.188405797,9.565217391,9.565217391,0,9.565217391,-6.376811594,-3.188405797,7.129492102,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,12.75362319,12.75362319,0,12.75362319,-6.376811594,0,6.376811594,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,10.08262442,9.565217391,-3.188405797,10.08262442,-9.565217391,0,9.565217391,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,10.08262442,9.565217391,-3.188405797,10.08262442,-6.376811594,3.188405797,7.129492102,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,9.565217391,9.565217391,0,9.565217391,-9.565217391,-3.188405797,10.08262442,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,9.565217391,9.565217391,0,9.565217391,-9.565217391,0,9.565217391,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,10.08262442,9.565217391,-3.188405797,10.08262442,-6.376811594,0,6.376811594,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,10.08262442,9.565217391,-3.188405797,10.08262442,-9.565217391,0,9.565217391,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,9.565217391,9.565217391,0,9.565217391,-6.376811594,0,6.376811594,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,10.08262442,9.565217391,-3.188405797,10.08262442,-9.565217391,-3.188405797,10.08262442,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,13.14613388,12.75362319,3.188405797,13.14613388,-6.376811594,0,6.376811594,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,10.08262442,9.565217391,-3.188405797,10.08262442,-9.565217391,0,9.565217391,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,12.75362319,12.75362319,0,12.75362319,-6.376811594,0,6.376811594,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,10.08262442,9.565217391,-3.188405797,10.08262442,-6.376811594,0,6.376811594,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,10.08262442,9.565217391,-3.188405797,10.08262442,-6.376811594,-3.188405797,7.129492102,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,9.565217391,9.565217391,0,9.565217391,-6.376811594,0,6.376811594,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,9.565217391,9.565217391,0,9.565217391,-9.565217391,-3.188405797,10.08262442,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,11.49596059,9.565217391,-6.376811594,11.49596059,-9.565217391,0,9.565217391,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,10.08262442,9.565217391,3.188405797,10.08262442,-9.565217391,0,9.565217391,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,10.08262442,9.565217391,-3.188405797,10.08262442,-3.188405797,0,3.188405797,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,13.14613388,12.75362319,-3.188405797,13.14613388,-6.376811594,-3.188405797,7.129492102,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,9.565217391,9.565217391,0,9.565217391,-6.376811594,-3.188405797,7.129492102,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,10.08262442,9.565217391,-3.188405797,10.08262442,-9.565217391,0,9.565217391,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,9.565217391,9.565217391,0,9.565217391,-9.565217391,0,9.565217391,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
-9.565217391,-3.188405797,9.565217391,9.565217391,0,9.565217391,-9.565217391,0,9.565217391,9.61352657,-1.54589372,9.932841773,-7.773978179,-0.859794822,7.976948204,0.0049,0.306086957
